,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
1,H2O,PW91,400,1,0,0.0,-14.27797584,0.565950335,298.15,0.10286487883984219,-13.609160626160158,-2.506445205454288,3166.74874006291,0.002256842240680026,-14.282038140218907
2,H2,PW91,400,1,0,0.0,-6.78959274,0.267454372,298.15,0.08992399688723429,-6.4322143711127655,0.0,100000.0,0.0013527535300681553,-6.835537836102586
3,O2,PW91,400,1,0,0.0,-9.77640915,0.09674746299999999,298.15,0.09002778749881361,-9.589633899501186,0.0,100000.0,0.002129479638453269,-10.224538253706028
4,H2O2,PW91,400,1,0,0.0,-18.23155148,0.696250113,298.15,0.1141583408764163,-17.421143026123584,-1.4093333767692797,100000.0,0.002364289996483942,-18.12605608857527
5,CO2,PW91,400,1,0,0.0,-23.03350419,0.307131515,298.15,0.09802375633584681,-22.62834891866415,-4.080562177045822,100000.0,0.002222240295007111,-23.290909862620524
6,CO,PW91,400,1,0,0.0,-14.83544614,0.1316610245,298.15,0.08993331685682332,-14.613851798643177,-1.144812342975661,100000.0,0.002050280161791666,-15.225142828881362
7,HCOOH,PW91,400,1,0,0.0,-30.00403744,0.8874237865000001,298.15,0.11290499306182267,-29.00370866043818,-3.9244514030036863,5714.155064883787,0.0028276073661678306,-29.846759796661118
8,CH3OH,PW91,400,1,0,0.0,-30.33484572,1.3561293714999998,298.15,0.11779015910117252,-28.86092618939883,-2.0814769872284744,16938.450392599163,0.0026317657259124676,-29.64558714057963
9,CH4,PW91,400,1,0,0.0,-24.11818452,1.1862678965,298.15,0.10396970717140741,-22.827946916328592,-0.7762174598206185,100000.0,0.001931849476892227,-23.40392783786401
10,C2H4,PW91,400,1,0,0.0,-32.08181787,1.3511574055,298.15,0.10916392077136239,-30.62149654372864,0.5420512987574153,100000.0,0.0022737958949029325,-31.29942878979395
11,C2H6,PW91,400,1,0,0.0,-40.63419711,1.9817198285000004,298.15,0.12089761888107797,-38.531579662618924,-0.8716184884019238,100000.0,0.0023621360757982994,-39.23585053361818
12,CH2O,PW91,400,1,0,0.0,-22.22014744,0.70034177,298.15,0.1039283893032078,-21.415877280696794,,100000.0,0.0022691319894203033,-22.09241898334246
13,N2,PW91,400,1,0,0.0,-16.66381291,0.14887135950000002,298.15,0.08992675665994837,-16.425014793840052,0.0,100000.0,0.00198751362683503,-17.017591981680916
14,NH3,PW91,400,1,0,0.0,-19.58701663,0.9087292985000001,298.15,0.10388593958531345,-18.574401391914687,-0.47700514290652546,100000.0,0.001997405876719054,-19.169927954058473
15,H2O,PW91,400,1,0,0.1,-14.6275273,0.558223783,298.15,0.10289298403791747,-13.966410532962083,-2.506445205454288,3166.74874006291,0.0022574654605202857,-14.639473860016206
16,H2,PW91,400,1,0,0.1,-6.80653149,0.26617801500000005,298.15,0.08992399693542052,-6.45042947806458,0.0,100000.0,0.0013530551377425749,-6.853842867382529
17,O2,PW91,400,1,0,0.1,-9.78761544,0.0966441985,298.15,0.0900285139587193,-9.60094272754128,0.0,100000.0,0.002129389284061013,-10.235820142584071
18,H2O2,PW91,400,1,0,0.1,-18.65497573,0.6906346805,298.15,0.11533266422070254,-17.849008385279298,-1.4093333767692797,100000.0,0.002372142885348475,-18.556262786545947
19,CO2,PW91,400,1,0,0.1,-23.18970963,0.303287803,298.15,0.09833994320717199,-22.788081883792827,-4.080562177045822,100000.0,0.0022236431901393747,-23.451061100932883
20,CO,PW91,400,1,0,0.1,-14.87982287,0.1313361935,298.15,0.08993353196323564,-14.658553144536764,-1.144812342975661,100000.0,0.002050214535423984,-15.269824608273424
21,HCOOH,PW91,400,1,0,0.1,-30.40044791,0.8817969205,298.15,0.11315763324033878,-29.40549335625966,-3.9244514030036863,5714.155064883787,0.0028288037248066188,-30.248901186810755
22,CH3OH,PW91,400,1,0,0.1,-30.5838523,1.3490702810000001,298.15,0.11861217763256637,-29.116169841367434,-2.0814769872284744,16938.450392599163,0.002637981808495445,-29.90268411757035
23,CH4,PW91,400,1,0,0.1,-24.14302067,1.1780751255,298.15,0.10407447240000556,-22.860871072099993,-0.7762174598206185,100000.0,0.0019324213126704663,-23.437022486472692
24,C2H4,PW91,400,1,0,0.1,-32.15318518,1.347198313,298.15,0.10917821363776858,-30.696808653362233,0.5420512987574153,100000.0,0.0022741765594716736,-31.37485439456871
25,C2H6,PW91,400,1,0,0.1,-40.66175411,1.970755302,298.15,0.1212326981712486,-38.56976610982875,-0.8716184884019238,100000.0,0.00236399904322288,-39.27459242456565
26,CH2O,PW91,400,1,0,0.1,-22.43468935,0.7044710085000001,298.15,0.10390302160779585,-21.626315319892203,,100000.0,0.0022696154281920396,-22.30300115980766
27,N2,PW91,400,1,0,0.1,-16.69100185,0.14908353500000002,298.15,0.08992671531374344,-16.451991599686256,0.0,100000.0,0.0019874231615108757,-17.044541815290724
28,NH3,PW91,400,1,0,0.1,-19.81142471,0.902185038,298.15,0.10389015870933593,-18.805349513290665,-0.47700514290652546,100000.0,0.0019975848309542452,-19.40092943063967
29,H2O,PW91,400,1,0,1.0,-14.62810446,0.558216067,298.15,0.10289294603330212,-13.966995446966697,-2.506445205454288,3166.74874006291,0.0022574683641263045,-14.640059639730955
30,H2,PW91,400,1,0,1.0,-6.80654252,0.266176785,298.15,0.08992399693546799,-6.450441738064532,0.0,100000.0,0.0013530553882660028,-6.853855202076041
31,O2,PW91,400,1,0,1.0,-9.7876216,0.0966441255,298.15,0.09002851447402195,-9.600948960025978,0.0,100000.0,0.0021293891685203207,-10.235826340620312
32,H2O2,PW91,400,1,0,1.0,-18.65553977,0.6904422379999999,298.15,0.11572566622585545,-17.849371865774145,-1.4093333767692797,100000.0,0.0023747579635842683,-18.557405952616794
33,CO2,PW91,400,1,0,1.0,-23.18990002,0.30327789050000004,298.15,0.09834123235369535,-22.788280897146304,-4.080562177045822,100000.0,0.0022236493607520856,-23.451261954054537
34,CO,PW91,400,1,0,1.0,-14.87987058,0.1313358265,298.15,0.08993353220902109,-14.65860122129098,-1.144812342975661,100000.0,0.0020502143301024353,-15.26987262381102
35,HCOOH,PW91,400,1,0,1.0,-30.40102768,0.8817508570000001,298.15,0.1131582398781994,-29.4061185831218,-3.9244514030036863,5714.155064883787,0.002828805713667193,-30.24952700665167
36,CH3OH,PW91,400,1,0,1.0,-30.58430021,1.3490408019999998,298.15,0.11861399250648708,-29.11664541549351,-2.0814769872284744,16938.450392599163,0.002637996362564306,-29.90316403099206
37,CH4,PW91,400,1,0,1.0,-24.14303461,1.178046696,298.15,0.10407468065612147,-22.86091323334388,-0.7762174598206185,100000.0,0.0019324222357593483,-23.43706492293553
38,C2H4,PW91,400,1,0,1.0,-32.15327198,1.3471873575,298.15,0.10917817550440145,-30.696906446995598,0.5420512987574153,100000.0,0.002274176880064966,-31.374952283786968
39,C2H6,PW91,400,1,0,1.0,-40.66176928,1.970740695,298.15,0.12123333792718327,-38.56979524707282,-0.8716184884019238,100000.0,0.0023640027380504055,-39.27462266342255
40,CH2O,PW91,400,1,0,1.0,-22.43512722,0.7051270365,298.15,0.10390926772930209,-21.626090915770696,,100000.0,0.002269549044168839,-22.302756963289635
41,N2,PW91,400,1,0,1.0,-16.69102844,0.149083805,298.15,0.08992671526152313,-16.452017919738477,0.0,100000.0,0.001987423058920506,-17.044568104755626
42,NH3,PW91,400,1,0,1.0,-19.81177546,0.902211717,298.15,0.1038900649323794,-18.80567367806762,-0.47700514290652546,100000.0,0.0019975850937771567,-19.40125367377728
43,H2O,PW91,400,2,0,0.0,-14.27791042,0.5659315205,298.15,0.1028650508408826,-13.609113848659117,-2.506445205454288,3166.74874006291,0.002256844877310241,-14.281992148829165
44,H2,PW91,400,2,0,0.0,-6.78959274,0.267454372,298.15,0.08992399688723429,-6.4322143711127655,0.0,100000.0,0.0013527535300681553,-6.835537836102586
45,O2,PW91,400,2,0,0.0,-9.77640915,0.09674746299999999,298.15,0.09002778749881361,-9.589633899501186,0.0,100000.0,0.002129479638453269,-10.224538253706028
46,H2O2,PW91,400,2,0,0.0,-18.23032413,0.694479277,298.15,0.11537028828795137,-17.42047456471205,-1.4093333767692797,100000.0,0.002372285963359329,-18.127771624687632
47,CO2,PW91,400,2,0,0.0,-23.03345508,0.307166013,298.15,0.09799884477112264,-22.628290222228877,-4.080562177045822,100000.0,0.002222147112810649,-23.29082338391337
48,CO,PW91,400,2,0,0.0,-14.83526354,0.1318589035,298.15,0.08993318817738277,-14.613471448322617,-1.144812342975661,100000.0,0.0020502306003761643,-15.22474770182477
49,HCOOH,PW91,400,2,0,0.0,-30.00401918,0.8874639,298.15,0.11290602280313444,-29.003649257196866,-3.9244514030036863,5714.155064883787,0.002827606104083122,-29.846700017129248
50,CH3OH,PW91,400,2,0,0.0,-30.33479956,1.3560951245000004,298.15,0.11777634058724917,-28.86092809491275,-2.0814769872284744,16938.450392599163,0.0026316703495315734,-29.64556060962559
51,CH4,PW91,400,2,0,0.0,-24.11812049,1.1866830394999999,298.15,0.10397238047622559,-22.827465070023774,-0.7762174598206185,100000.0,0.0019318156263680329,-23.403435899025403
52,C2H4,PW91,400,2,0,0.0,-32.08174777,1.3509114100000001,298.15,0.10917695811328976,-30.62165940188671,0.5420512987574153,100000.0,0.002273845275443913,-31.299606370760312
