,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
1,H2O,PW91,400,1,0,0.0,-14.28610571,0.5659171675,298.15,0.10286351746270872,-13.61732502503729,-2.506445205454288,3166.74874006291,0.0022567118790677537,-14.290163671781341
2,H2,PW91,400,1,0,0.0,-6.78996045,0.26749693550000003,298.15,0.0899239968857049,-6.432539517614295,0.0,100000.0,0.001352693893528704,-6.835845201969878
3,O2,PW91,400,1,0,0.0,-9.79443967,0.096674737,298.15,0.0900282986062056,-9.607736634393794,0.0,100000.0,0.002129536653745853,-10.24265798770812
4,H2O2,PW91,400,1,0,0.0,-18.26006268,0.6950838265,298.15,0.11554650455109738,-17.449432348948903,-1.4093333767692797,100000.0,0.0023735649243167103,-18.15711073113393
5,CO2,PW91,400,1,0,0.0,-23.04179952,0.30649352750000003,298.15,0.09802550140606914,-22.637280491093932,-4.080562177045822,100000.0,0.0022223103018917355,-23.299862307602954
6,CO,PW91,400,1,0,0.0,-14.84040473,0.1317902185,298.15,0.0899332326425854,-14.618681278857414,-1.144812342975661,100000.0,0.0020502342056945206,-15.229958607285235
7,HCOOH,PW91,400,1,0,0.0,-30.01537654,0.8879788145,298.15,0.1128194898001722,-29.014578235699826,-3.9244514030036863,5714.155064883787,0.0028272198219800927,-29.85751382562319
8,CH3OH,PW91,400,1,0,0.0,-30.34434724,1.3578584994999998,298.15,0.11739734076142216,-28.86909139973858,-2.0814769872284744,16938.450392599163,0.002629072433464657,-29.652949345776065
9,CH4,PW91,400,1,0,0.0,-24.11872481,1.1869855409999999,298.15,0.1039557242450635,-22.827783544754936,-0.7762174598206185,100000.0,0.0019317401901484262,-23.40373188244769
10,C2H4,PW91,400,1,0,0.0,-32.08571868,1.3553993585,298.15,0.1090583109975698,-30.62126101050243,0.5420512987574153,100000.0,0.002273234517401795,-31.299025881865774
11,C2H6,PW91,400,1,0,0.0,-40.63526607,1.9811762350000002,298.15,0.12109615042582011,-38.53299368457418,-0.8716184884019238,100000.0,0.0023635069032078796,-39.23767326776561
12,CH2O,PW91,400,1,0,0.0,-22.2288424,0.701896769,298.15,0.10390983161543343,-21.423035799384568,,100000.0,0.002269059110388197,-22.099555773146808
13,N2,PW91,400,1,0,0.0,-16.67768084,0.1488375765,298.15,0.08992676330043642,-16.438916500199564,0.0,100000.0,0.001987480653399371,-17.031483857010585
14,NH3,PW91,400,1,0,0.0,-19.59298434,0.9080978405,298.15,0.10391294680386132,-18.58097355269614,-0.47700514290652546,100000.0,0.0019975144265601454,-19.17653247897505
15,H2O,PW91,400,1,0,0.1,-14.63502341,0.558089634,298.15,0.10289415894448684,-13.974039617055514,-2.506445205454288,3166.74874006291,0.002257376139261299,-14.647076312976269
16,H2,PW91,400,1,0,0.1,-6.80691209,0.26635286750000003,298.15,0.08992399692854763,-6.450635225571452,0.0,100000.0,0.0013529849538025359,-6.854027689547678
17,O2,PW91,400,1,0,0.1,-9.80551266,0.0966241585,298.15,0.09002865551358946,-9.61885984598641,0.0,100000.0,0.0021294255602514476,-10.253748076775379
18,H2O2,PW91,400,1,0,0.1,-18.68388182,0.6892990784999999,298.15,0.1161360525529136,-17.878446688947086,-1.4093333767692797,100000.0,0.0023777874744635467,-18.587384024458395
19,CO2,PW91,400,1,0,0.1,-23.19780012,0.30314058499999996,298.15,0.09826215257856807,-22.796397382421432,-4.080562177045822,100000.0,0.00222332354890787,-23.459281298528314
20,CO,PW91,400,1,0,0.1,-14.8845968,0.13147286449999998,298.15,0.08993344086685715,-14.663190494633144,-1.144812342975661,100000.0,0.002050200116497115,-15.274457659366758
21,HCOOH,PW91,400,1,0,0.1,-30.4113743,0.8838522065000001,298.15,0.11304127443405876,-29.41448081906594,-3.9244514030036863,5714.155064883787,0.002828265427707447,-30.257728156336913
22,CH3OH,PW91,400,1,0,0.1,-30.59307143,1.3502645615,298.15,0.11854173950191571,-29.124265128998083,-2.0814769872284744,16938.450392599163,0.0026376291065735944,-29.910674247123
23,CH4,PW91,400,1,0,0.1,-24.1435785,1.1803879335,298.15,0.1040280951764605,-22.85916247132354,-0.7762174598206185,100000.0,0.0019321799095337938,-23.43524191135104
24,C2H4,PW91,400,1,0,0.1,-32.15716533,1.353273294,298.15,0.10895578054467325,-30.694936255455325,0.5420512987574153,100000.0,0.0022731095065889645,-31.372663854844824
25,C2H6,PW91,400,1,0,0.1,-40.66279023,1.9728110925000002,298.15,0.12125743546831069,-38.56872170203169,-0.8716184884019238,100000.0,0.0023643741320508098,-39.273659849502636
26,CH2O,PW91,400,1,0,0.1,-22.44260486,0.7072702435,298.15,0.10387509508202264,-21.631459521417977,,100000.0,0.002269471979576654,-22.30810259212875
27,N2,PW91,400,1,0,0.1,-16.70472089,0.14906336099999998,298.15,0.08992671921845705,-16.465730809781544,0.0,100000.0,0.001987389786125464,-17.058271074514852
28,NH3,PW91,400,1,0,0.1,-19.81692127,0.903480794,298.15,0.10383375414811269,-18.80960672185189,-0.47700514290652546,100000.0,0.0019974067105316398,-19.405133532596896
29,H2O,PW91,400,1,0,1.0,-14.63559922,0.558067454,298.15,0.10289419037030323,-13.974637575629696,-2.506445205454288,3166.74874006291,0.0022573800103564295,-14.647675425717466
30,H2,PW91,400,1,0,1.0,-6.80692314,0.266351768,298.15,0.08992399692858993,-6.45064737507141,0.0,100000.0,0.001352985206980719,-6.854039914532712
31,O2,PW91,400,1,0,1.0,-9.80551885,0.096624182,298.15,0.09002865534748428,-9.618866012652516,0.0,100000.0,0.0021294254182893705,-10.253754201115491
32,H2O2,PW91,400,1,0,1.0,-18.68324391,0.6883664835000001,298.15,0.11706458893519067,-17.87781283756481,-1.4093333767692797,100000.0,0.0023845285506234716,-18.588760024933197
33,CO2,PW91,400,1,0,1.0,-23.19799025,0.303132171,298.15,0.09826287914178666,-22.796595199858213,-4.080562177045822,100000.0,0.0022233269411261612,-23.45948012735498
34,CO,PW91,400,1,0,1.0,-14.88464449,0.1314723955,298.15,0.08993344117798807,-14.663238653322011,-1.144812342975661,100000.0,0.002050200001196561,-15.274505783678766
35,HCOOH,PW91,400,1,0,1.0,-30.41195321,0.8838299135,298.15,0.11304196450662263,-29.415081331993377,-3.9244514030036863,5714.155064883787,0.0028282677756093044,-30.258329369291292
36,CH3OH,PW91,400,1,0,1.0,-30.59351871,1.3503004095,298.15,0.11849815722419965,-29.124720143275802,-2.0814769872284744,16938.450392599163,0.0026373008728556332,-29.911031398517707
37,CH4,PW91,400,1,0,1.0,-24.14359245,1.180380432,298.15,0.10402818613454179,-22.859183831865458,-0.7762174598206185,100000.0,0.001932180388243654,-23.435263414620305
38,C2H4,PW91,400,1,0,1.0,-32.1572522,1.3532725715,298.15,0.10895553203761543,-30.695024096462387,0.5420512987574153,100000.0,0.0022731089133265483,-31.3727515189707
39,C2H6,PW91,400,1,0,1.0,-40.66280527,1.972800379,298.15,0.1212577466972593,-38.56874714430274,-0.8716184884019238,100000.0,0.0023643759187064986,-39.27368582446508
40,CH2O,PW91,400,1,0,1.0,-22.44304244,0.7072862155,298.15,0.10387502949972383,-21.631881195000275,,100000.0,0.00226947271533987,-22.30852448507886
41,N2,PW91,400,1,0,1.0,-16.7047473,0.1490636555,298.15,0.08992671916141592,-16.465756925338585,0.0,100000.0,0.001987389680906623,-17.058297158700896
42,NH3,PW91,400,1,0,1.0,-19.81727038,0.903477119,298.15,0.10383326411806026,-18.80995999688194,-0.47700514290652546,100000.0,0.0019974057387373506,-19.40548651788648
43,H2O,PW91,400,2,0,0.0,-14.28604797,0.5660558149999999,298.15,0.10286517254324723,-13.617126982456753,-2.506445205454288,3166.74874006291,0.0022567263868738534,-14.289969954703192
44,H2,PW91,400,2,0,0.0,-6.78996045,0.26749693550000003,298.15,0.0899239968857049,-6.432539517614295,0.0,100000.0,0.001352693893528704,-6.835845201969878
45,O2,PW91,400,2,0,0.0,-9.79443967,0.096674737,298.15,0.0900282986062056,-9.607736634393794,0.0,100000.0,0.002129536653745853,-10.24265798770812
46,H2O2,PW91,400,2,0,0.0,-18.25999216,0.694278599,298.15,0.11620641946636256,-17.449507141533637,-1.4093333767692797,100000.0,0.002378185205006221,-18.15856306040624
47,CO2,PW91,400,2,0,0.0,-23.04169717,0.30657166950000003,298.15,0.09801195751603431,-22.637113542983965,-4.080562177045822,100000.0,0.002222243267619284,-23.299675373224655
